编号,类别,标题,文号/编号,机构/来源,年份,语言,状态,本地文件,来源URL,与课题关联说明,移除原因/备注
BZ01,标准规范,城市给水工程规划规范,GB 50282-2016,住建部/国家标准,2016,中文,已保存,BZ01_GB50282-2016_城市给水工程规划规范.pdf,https://zrzyt.xinjiang.gov.cn/xjgtzy/tzgg/202311/f1bc95ce98e74f90bd91b78d8a354461/files/13-《城市给水工程规划规范》（GB50282-2016）.pdf,城市供水规划核心规范：应急/备用水源、给水设施供电等级(一级负荷)、与供电系统安全保障衔接,
BZ02,标准规范,电力系统安全稳定导则,GB 38755-2019,国家能源局归口,2019,中文,仅在线阅读,(未存;gb688下载接口需浏览器会话),https://c.gb688.cn/bzgk/gb/showGb?type=download&hcno=1D988D54A435E864E67CAA13217E8A99,电力系统'三道防线'、防止连锁故障与大停电的国家标准依据,"沙箱反爬受阻,建议本机浏览器下载"
BZ03,标准规范,室外给水排水和燃气热力工程抗震设计规范,GB 50032-2003,住建部,2003,中文,仅在线阅读,(未存;全文浏览页),https://www.yuanlin8.com/guifan/jiegou/6a96a89c.html,生命线工程抗震设计：给水管网/泵房/水塔抗震要求,
BZ04,标准规范,城市基础设施公共安全监测通用技术规范,GB/T 45791-2025,TC351(全国公共安全基础标委会),2025,中文,待获取,(未存;详情页),https://std.samr.gov.cn/gb/search/gbDetailed?id=36DE96AA3F01CD71E06397BE0A0A23D9,"城市生命线(含供水/供电)安全监测首个通用国标,'合肥模式'标准化,2025-09-01实施",
BZ05,标准规范,Sustainable cities — Indicators for city services / resilient cities / guidance,"ISO 37120:2018, ISO 37123:2019, ISO 37124:2024",ISO/TC 268,2018-2024,英文,需购买,(未存),https://www.iso.org/news/ref2464.html,城市服务与韧性指标国际标准(含水/电服务中断与韧性度量),三条ISO合并为一条目
ZC01,政策文件,关于推进新型城市基础设施建设打造韧性城市的意见,中办、国办(2024-11-26),中共中央办公厅/国务院办公厅,2024,中文,已保存(HTML+TXT),ZC01_2024_中办国办_推进新型城市基础设施建设打造韧性城市的意见.html/.txt,https://www.gov.cn/zhengce/202412/content_6991171.htm,韧性城市顶层政策：生命线安全工程、供水/供电市政设施数字化改造、监测预警与应急处置,
ZC02,政策文件,国家大面积停电事件应急预案,国办函〔2015〕134号,国务院办公厅,2015,中文,已保存(HTML+TXT),ZC02_2015_国家大面积停电事件应急预案_国办函134号.html/.txt,http://www.nea.gov.cn/2015-11/26/c_134858359.htm,"大停电分级响应与恢复次序,明确'维护供水、供气、供热等设施正常运行'——电→水级联国家级应对",
ZC03,政策文件,Presidential Policy Directive 21: Critical Infrastructure Security and Resilience,PPD-21,The White House(美国),2013,英文,已保存,ZC03_2013_美国PPD-21关键基础设施安全与韧性总统政策指令.pdf,https://nsarchive.gwu.edu/document/21487-document-86,"美国关键基础设施政策基石：四大生命线功能(含电力、水),要求预判互依性与级联影响",
ZC05,政策文件,银川市城市供水事故应急预案,—,银川市政府,2023,中文,已保存,ZC05_银川市城市供水事故应急预案.pdf,https://www.yinchuan.gov.cn/xxgk/bmxxgkml/ycsszglj_38951/xxgkml_38954/zdgz_38964/202310/W020231009596508171760.pdf,市级供水突发事件预案实例：预警分级(含停电致因)、应急响应与保障,
ZC08,政策文件,国务院安委办《城市安全风险综合监测预警平台建设指南(2023版)》印发通知,安委办函〔2023〕145号,国务院安委会办公室,2023,中文,已保存(通知HTML+TXT;指南附件源站不可达),ZC08_2023_国务院安委办_城市安全风险综合监测预警平台建设指南_通知.html/.txt,https://www.gov.cn/zhengce/zhengceku/202311/content_6916861.htm,城市安全风险监测预警平台(含供水、电力子平台)建设国家指南,"附件PDF镜像(廊坊/深圳)沙箱不可达,可本机获取"
