序号,UT,题名,判定,理由/标签,判定阶段
1,WOS:001708113800003,Enhancing reliability of integrated electricity-water systems with data centers via decentralized robust planning considering decision-dependent uncertainties,A,耦合系统规划优化(IEWS+数据中心),题目+关键词
2,WOS:001560302400011,Assessing Power and Water Network Resilience When Water Pumps Provide Frequency Regulation,A,韧性评估(水泵提供调频),题目+关键词
3,WOS:000871076600012,Resilience Analytics for Interdependent Power and Water Distribution Systems,A,韧性评估(配网-配水网相互依赖),题目+关键词
4,WOS:001442336600001,Reliability Evaluation of Integrated Electricity-Water System Based on Multi-State Models of Equipment in Water System,A,可靠性评估(IEWS多状态模型),题目+关键词
5,WOS:001040238700001,A socio-technical approach for the assessment of critical infrastructure system vulnerability in extreme weather events,A,[B终筛升A]波多黎各飓风后电力-供水基础设施依赖与社会技术脆弱性干预评估,摘要复核(B类终筛)
6,WOS:001078344600001,Joint Cascade Vulnerability Assessment of Interdependent Power-Water Infrastructures,A,级联失效机理(电力-供水基础设施),题目+关键词
7,WOS:000755788700001,Integrated Water-Power System Resilience Analysis in a Southeastern Idaho Irrigation District: Minidoka Case Study,X,[B终筛剔除:非城市供水(灌溉/农村/离网提水)],摘要复核(B类终筛)
8,WOS:000957255400001,Risk-averse restoration of coupled power and water systems with small pumped-hydro storage and stochastic rooftop renewables,A,耦合系统恢复优化(风险规避),题目+关键词
9,WOS:000743261300010,"Integrated water-power system resiliency quantification, challenge and opportunity",X,[B终筛剔除:非城市供水(灌溉/农村/离网提水)],摘要复核(B类终筛)
10,WOS:000899805800233,An Optimal Method for Locating and Sizing Distributed Generations Considering Critical Infrastructures Interconnection for Urban Distribution Network Restoration,A,配网恢复+水-电耦合DG选址,题目+关键词
11,WOS:001650790300011,Real-Time Service Restoration of Coupled Power-Water Systems Considering the Spatio-Temporal Cascading Failure,A,级联失效+实时恢复(耦合电力-水系统),题目+关键词
12,WOS:000380430700008,Water Microgrids: The Future of Water Infrastructure Resilience,X,"[B终筛剔除:单一系统(纯供水/纯电网)韧性,无水电耦合]",摘要复核(B类终筛)
13,WOS:000593965500006,Electricity-water usage for sustainable development: An analysis of United Arab Emirates farms,X,无关(农场水电资源使用回归分析),题目+关键词
14,WOS:000459143700012,Interdependent Critical Infrastructure Model (ICIM): An agent-based model of power and water infrastructure,A,电力-供水相互依赖建模(ABM),题目+关键词
15,WOS:000663910000028,Robustness assessment of Hetero-functional graph theory based model of interdependent urban utility networks,A,[B终筛升A]城市多公用网络(电/水/热/气/交通)互依HFGT建模与鲁棒性评估,摘要复核(B类终筛)
16,WOS:000863680700180,Identification of Critical Nodes and Edges in a Network Based on Clustering,X,通用网络理论(关键节点识别),题目+关键词
17,WOS:000761208300011,Resilience of Cyber-Enabled Electrical Energy and Water Distribution Systems Considering Infrastructural Robustness Under Conditions of Limited Water and/or Energy Availability,A,"韧性评估(电力+配水网,受限水/能)",题目+关键词
18,WOS:001137647800001,A Generalized Accelerated Failure Time Model to Predict Restoration Time from Power Outages,X,纯电力(停电恢复时间预测),题目+关键词
19,WOS:000856623900007,The water energy nexus: Improved emergency grid restoration with DERs,A,电网恢复+水-能网络互依,题目+关键词
20,WOS:001128141100001,Post-disaster restoration planning of interdependent infrastructure Systems: A framework to balance social and economic impacts,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
21,WOS:000324641300017,Hydropower Energy Recovery (HyPER) from Water-flow Systems in Vietnam,X,[B终筛剔除:供水系统内水力发电/能量回收/抽蓄设备(口径外)],摘要复核(B类终筛)
22,WOS:000508186400024,Resilience Assessment of Interdependent Infrastructure Systems: A Case Study Based on Different Response Strategies,A,[B终筛升A]道路-供水-电网-信息多层网络级联失效与恢复韧性评估,摘要复核(B类终筛)
23,WOS:000250637000005,Serviceability of earthquake-damaged water systems: Effects of electrical power availability and power backup systems on system vulnerability,A,电力可用性对震损供水系统影响,题目+关键词
24,WOS:001764771000008,Analysis of Generation of Green Energy in Water Supply System Within High-Rise Building-A Sustainable Approach,X,[B终筛剔除:供水系统内水力发电/能量回收/抽蓄设备(口径外)],摘要复核(B类终筛)
25,WOS:001740781200001,Vulnerability analysis of water systems to power interruptions in critical infrastructures,A,级联失效脆弱性(水系统对停电),题目+关键词
26,WOS:000848207000001,Day-Ahead Scheduling of Integrated Power and Water System Considering a Refined Model of Power-to-Gas,A,日前联合调度(综合电力-水系统+P2G),题目+关键词
27,WOS:001444664100001,Enhancing Resilience of Intermittent Water Supply Systems to Power Outages,A,韧性提升(间歇供水应对停电),题目+关键词
28,WOS:001864815800001,Quantifying the dependent failure of urban power-water supply systems under earthquake hazards from the perspective of energy transfer,A,"相依失效量化(城市电力-供水,地震)",题目+关键词
